Shop Name,Product ID,Item Name,Price,Shipping Cost,Delivery Time,Return Policy,Stock Status,Avg. Rating,Promotions,Loyalty Program,Customer Support,Countries Served
Shop_1,Shop_1_P0016,Item_16,14254,486,4 days,7 days,Out of Stock,4.1,None,No,3.9/5,India
Shop_1,Shop_1_P0017,Item_17,41667,438,3 days,7 days,In Stock,4.6,None,No,3.5/5,India
Shop_1,Shop_1_P0018,Item_18,43150,538,6 days,14 days,Out of Stock,4.1,Free shipping,No,3.1/5,India
Shop_1,Shop_1_P0019,Item_19,25978,308,4 days,30 days,Out of Stock,4.6,10% off,Yes,4.2/5,India
Shop_1,Shop_1_P0020,Item_20,39631,337,7 days,7 days,Out of Stock,4.2,None,No,4.1/5,India
Shop_1,Shop_1_P0021,Item_21,17900,310,3 days,30 days,In Stock,3.6,Free shipping,No,4.9/5,India
Shop_1,Shop_1_P0022,Item_22,16909,94,3 days,14 days,Out of Stock,4.4,10% off,No,4.2/5,India
Shop_1,Shop_1_P0023,Item_23,7343,692,2 days,14 days,In Stock,3.2,None,Yes,4.1/5,India
Shop_1,Shop_1_P0024,Item_24,788,213,3 days,7 days,In Stock,3.6,10% off,Yes,4.2/5,India
Shop_1,Shop_1_P0025,Item_25,39301,649,6 days,14 days,In Stock,4.5,None,Yes,3.9/5,India
Shop_1,Shop_1_P0026,Item_26,45271,577,7 days,14 days,Out of Stock,4.7,10% off,Yes,4.5/5,India
Shop_1,Shop_1_P0027,Item_27,12065,684,6 days,7 days,In Stock,4.1,None,No,3.1/5,India
Shop_1,Shop_1_P0028,Item_28,14298,518,7 days,14 days,Out of Stock,3.6,10% off,Yes,3.5/5,India
Shop_1,Shop_1_P0029,Item_29,24667,224,7 days,14 days,In Stock,4.1,10% off,Yes,3.3/5,India
Shop_1,Shop_1_P0030,Item_30,1404,370,5 days,30 days,In Stock,3.4,10% off,Yes,4.0/5,India
Shop_1,Shop_1_P0031,Item_31,46273,23,7 days,14 days,In Stock,4.5,Free shipping,No,4.9/5,India
Shop_1,Shop_1_P0032,Item_32,48299,243,5 days,14 days,Out of Stock,4.1,10% off,Yes,3.5/5,India
Shop_1,Shop_1_P0033,Item_33,42503,90,5 days,7 days,Out of Stock,4.5,None,No,3.6/5,India
Shop_1,Shop_1_P0034,Item_34,18769,495,4 days,14 days,In Stock,3.6,10% off,No,3.7/5,India
Shop_1,Shop_1_P0035,Item_35,22184,462,4 days,7 days,In Stock,3.3,10% off,No,3.9/5,India
Shop_1,Shop_1_P0036,Item_36,12112,165,1 days,14 days,In Stock,4.2,Free shipping,No,3.9/5,India
Shop_1,Shop_1_P0037,Item_37,30971,303,1 days,14 days,In Stock,4.7,None,Yes,3.5/5,India
Shop_1,Shop_1_P0038,Item_38,46383,308,5 days,30 days,In Stock,3.6,None,No,4.6/5,India
Shop_1,Shop_1_P0039,Item_39,33520,390,3 days,14 days,In Stock,4.5,10% off,No,4.3/5,India
Shop_1,Shop_1_P0040,Item_40,30105,100,7 days,14 days,Out of Stock,3.3,Free shipping,Yes,4.3/5,India
Shop_1,Shop_1_P0041,Item_41,23520,692,1 days,14 days,Out of Stock,3.9,10% off,Yes,4.0/5,India
Shop_1,Shop_1_P0042,Item_42,28525,206,2 days,7 days,Out of Stock,4.6,None,Yes,4.7/5,India
Shop_1,Shop_1_P0043,Item_43,20085,578,3 days,14 days,Out of Stock,4.8,Free shipping,Yes,4.2/5,India
Shop_1,Shop_1_P0044,Item_44,11753,280,2 days,7 days,Out of Stock,4.8,Free shipping,No,3.1/5,India
Shop_1,Shop_1_P0045,Item_45,15635,606,2 days,7 days,In Stock,4.2,None,Yes,3.6/5,India
Shop_1,Shop_1_P0046,Item_46,15484,536,5 days,7 days,Out of Stock,3.6,Free shipping,No,4.5/5,India
Shop_1,Shop_1_P0047,Item_47,39777,109,7 days,7 days,In Stock,3.4,None,No,4.0/5,India
Shop_1,Shop_1_P0048,Item_48,25331,343,3 days,30 days,In Stock,3.9,Free shipping,Yes,3.3/5,India
Shop_1,Shop_1_P0049,Item_49,49476,226,1 days,7 days,In Stock,3.3,Free shipping,No,4.4/5,India
Shop_1,Shop_1_P0050,Item_50,20415,186,2 days,14 days,In Stock,4.0,Free shipping,Yes,4.8/5,India
Shop_1,Shop_1_P0051,Item_51,9276,425,4 days,7 days,Out of Stock,4.2,Free shipping,Yes,3.5/5,India
Shop_1,Shop_1_P0052,Item_52,34400,176,6 days,30 days,Out of Stock,3.3,10% off,No,4.4/5,India
Shop_1,Shop_1_P0053,Item_53,20651,266,6 days,7 days,Out of Stock,4.9,Free shipping,No,4.6/5,India
Shop_1,Shop_1_P0054,Item_54,27219,315,4 days,30 days,Out of Stock,3.9,Free shipping,No,3.7/5,India
Shop_1,Shop_1_P0055,Item_55,7039,166,5 days,14 days,Out of Stock,4.2,None,Yes,4.0/5,India
Shop_1,Shop_1_P0056,Item_56,10813,666,4 days,30 days,Out of Stock,4.6,10% off,No,3.1/5,India
Shop_1,Shop_1_P0057,Item_57,18191,326,3 days,14 days,Out of Stock,3.4,10% off,No,4.8/5,India
Shop_1,Shop_1_P0058,Item_58,37912,617,6 days,14 days,Out of Stock,4.3,10% off,Yes,3.7/5,India
Shop_1,Shop_1_P0059,Item_59,10793,560,6 days,7 days,Out of Stock,4.0,Free shipping,Yes,4.7/5,India
Shop_1,Shop_1_P0060,Item_60,45227,477,5 days,30 days,Out of Stock,4.8,None,No,4.3/5,India
Shop_1,Shop_1_P0061,Item_61,28432,454,3 days,14 days,In Stock,3.5,10% off,No,3.7/5,India
Shop_1,Shop_1_P0062,Item_62,42856,209,7 days,7 days,In Stock,4.8,Free shipping,No,4.4/5,India
Shop_1,Shop_1_P0063,Item_63,29895,648,1 days,7 days,Out of Stock,3.1,10% off,Yes,4.9/5,India
Shop_1,Shop_1_P0064,Item_64,14797,288,7 days,14 days,Out of Stock,3.7,None,Yes,3.5/5,India
Shop_1,Shop_1_P0065,Item_65,10846,412,5 days,14 days,Out of Stock,4.3,Free shipping,Yes,3.2/5,India
Shop_1,Shop_1_P0066,Item_66,36948,534,7 days,7 days,In Stock,4.8,None,No,4.4/5,India
Shop_1,Shop_1_P0067,Item_67,31964,682,1 days,30 days,In Stock,4.5,None,Yes,3.3/5,India
Shop_1,Shop_1_P0068,Item_68,38655,40,2 days,14 days,In Stock,3.4,10% off,Yes,4.0/5,India
Shop_1,Shop_1_P0069,Item_69,644,491,2 days,7 days,Out of Stock,3.4,10% off,No,3.4/5,India
Shop_1,Shop_1_P0070,Item_70,31777,685,3 days,30 days,Out of Stock,3.2,Free shipping,No,3.4/5,India
Shop_1,Shop_1_P0071,Item_71,5190,638,5 days,30 days,Out of Stock,4.4,Free shipping,Yes,3.0/5,India
Shop_1,Shop_1_P0072,Item_72,23026,42,6 days,7 days,Out of Stock,4.5,10% off,No,3.1/5,India
Shop_1,Shop_1_P0073,Item_73,47931,30,6 days,7 days,Out of Stock,4.5,Free shipping,No,4.1/5,India
Shop_1,Shop_1_P0074,Item_74,8099,525,5 days,14 days,Out of Stock,3.2,None,Yes,4.2/5,India
Shop_1,Shop_1_P0075,Item_75,42156,246,4 days,30 days,In Stock,4.8,Free shipping,Yes,4.3/5,India
Shop_1,Shop_1_P0076,Item_76,39201,24,5 days,7 days,Out of Stock,3.7,10% off,No,3.6/5,India
Shop_1,Shop_1_P0077,Item_77,48735,107,7 days,30 days,Out of Stock,4.4,10% off,Yes,3.8/5,India
Shop_1,Shop_1_P0078,Item_78,10095,266,5 days,7 days,Out of Stock,4.9,Free shipping,Yes,4.0/5,India
Shop_1,Shop_1_P0079,Item_79,24167,626,4 days,14 days,In Stock,3.7,10% off,Yes,4.0/5,India
Shop_1,Shop_1_P0080,Item_80,17564,402,1 days,30 days,In Stock,4.4,Free shipping,No,3.5/5,India
Shop_1,Shop_1_P0081,Item_81,39680,218,3 days,14 days,In Stock,3.9,Free shipping,Yes,4.2/5,India
Shop_1,Shop_1_P0082,Item_82,21262,531,5 days,7 days,Out of Stock,3.6,None,Yes,5.0/5,India
Shop_1,Shop_1_P0083,Item_83,24008,504,5 days,14 days,In Stock,3.3,Free shipping,No,3.0/5,India
Shop_1,Shop_1_P0084,Item_84,13084,262,2 days,14 days,In Stock,4.1,None,No,3.0/5,India
Shop_1,Shop_1_P0085,Item_85,48914,62,7 days,7 days,Out of Stock,4.4,10% off,Yes,4.3/5,India
Shop_1,Shop_1_P0086,Item_86,26405,134,5 days,7 days,Out of Stock,4.9,None,No,4.2/5,India
Shop_1,Shop_1_P0087,Item_87,2479,505,6 days,7 days,Out of Stock,3.5,Free shipping,No,4.5/5,India
Shop_1,Shop_1_P0088,Item_88,28743,368,3 days,14 days,Out of Stock,4.6,None,Yes,3.9/5,India
Shop_1,Shop_1_P0089,Item_89,26326,559,5 days,14 days,Out of Stock,4.4,Free shipping,No,4.1/5,India
Shop_1,Shop_1_P0090,Item_90,24669,58,4 days,30 days,In Stock,3.2,Free shipping,No,3.7/5,India
Shop_1,Shop_1_P0091,Item_91,24456,139,5 days,14 days,In Stock,3.5,10% off,No,4.5/5,India
Shop_1,Shop_1_P0092,Item_92,4587,480,2 days,30 days,In Stock,3.3,10% off,No,4.9/5,India
Shop_1,Shop_1_P0093,Item_93,13051,256,5 days,30 days,In Stock,3.9,10% off,Yes,3.6/5,India
Shop_1,Shop_1_P0094,Item_94,25940,415,2 days,30 days,In Stock,3.3,Free shipping,No,3.8/5,India
Shop_1,Shop_1_P0095,Item_95,33060,418,6 days,7 days,Out of Stock,3.0,None,No,4.9/5,India
Shop_1,Shop_1_P0096,Item_96,35789,124,5 days,14 days,In Stock,3.7,10% off,Yes,4.2/5,India
Shop_1,Shop_1_P0097,Item_97,18063,94,6 days,7 days,In Stock,4.2,Free shipping,Yes,4.1/5,India
Shop_1,Shop_1_P0098,Item_98,18665,82,1 days,30 days,Out of Stock,3.1,None,No,3.2/5,India
Shop_1,Shop_1_P0099,Item_99,25258,229,1 days,30 days,In Stock,4.0,None,Yes,3.6/5,India
Shop_1,Shop_1_P0100,Item_100,28776,372,3 days,30 days,In Stock,3.1,Free shipping,No,3.1/5,India
Shop_2,Shop_2_P0001,Item_1,25811,553,7 days,7 days,Out of Stock,4.0,10% off,No,4.8/5,India
Shop_2,Shop_2_P0002,Item_2,44526,145,5 days,30 days,In Stock,3.8,None,No,4.6/5,India
Shop_2,Shop_2_P0003,Item_3,49721,107,1 days,30 days,In Stock,4.1,10% off,Yes,4.1/5,India
Shop_2,Shop_2_P0004,Item_4,15957,271,2 days,30 days,In Stock,3.1,10% off,No,3.5/5,India
Shop_2,Shop_2_P0005,Item_5,10687,469,1 days,7 days,In Stock,4.3,None,Yes,3.2/5,India
Shop_2,Shop_2_P0006,Item_6,27565,454,3 days,7 days,In Stock,4.6,Free shipping,Yes,4.6/5,India
Shop_2,Shop_2_P0007,Item_7,31103,535,1 days,14 days,Out of Stock,3.6,None,No,3.3/5,India
Shop_2,Shop_2_P0008,Item_8,21751,465,5 days,30 days,In Stock,3.2,10% off,Yes,4.5/5,India
Shop_2,Shop_2_P0009,Item_9,31859,149,5 days,14 days,Out of Stock,3.6,10% off,No,3.1/5,India
Shop_2,Shop_2_P0010,Item_10,23982,537,7 days,14 days,In Stock,3.7,None,Yes,3.8/5,India
Shop_2,Shop_2_P0011,Item_11,25011,682,3 days,14 days,Out of Stock,3.6,None,Yes,4.5/5,India
Shop_2,Shop_2_P0012,Item_12,10242,207,1 days,14 days,In Stock,4.4,Free shipping,No,3.3/5,India
Shop_2,Shop_2_P0013,Item_13,22028,67,3 days,7 days,Out of Stock,3.3,10% off,No,4.3/5,India
Shop_2,Shop_2_P0014,Item_14,29981,176,2 days,7 days,In Stock,4.8,10% off,Yes,4.6/5,India
Shop_2,Shop_2_P0015,Item_15,42653,259,1 days,7 days,Out of Stock,3.5,10% off,No,4.7/5,India
Shop_2,Shop_2_P0016,Item_16,10897,59,3 days,7 days,Out of Stock,3.1,None,No,4.3/5,India
Shop_2,Shop_2_P0017,Item_17,610,232,7 days,30 days,In Stock,3.4,Free shipping,Yes,4.1/5,India
Shop_2,Shop_2_P0018,Item_18,35023,431,4 days,30 days,In Stock,3.3,10% off,Yes,4.1/5,India
Shop_2,Shop_2_P0019,Item_19,47230,493,7 days,30 days,Out of Stock,3.8,Free shipping,Yes,3.9/5,India
Shop_2,Shop_2_P0020,Item_20,30648,579,6 days,30 days,In Stock,4.7,10% off,Yes,4.5/5,India
Shop_2,Shop_2_P0021,Item_21,13216,40,3 days,7 days,Out of Stock,4.7,Free shipping,Yes,4.7/5,India
Shop_2,Shop_2_P0022,Item_22,3966,123,6 days,7 days,Out of Stock,3.0,Free shipping,Yes,4.1/5,India
Shop_2,Shop_2_P0023,Item_23,28106,616,6 days,30 days,Out of Stock,4.6,Free shipping,Yes,3.7/5,India
Shop_2,Shop_2_P0024,Item_24,39705,294,1 days,7 days,In Stock,5.0,10% off,Yes,3.6/5,India
Shop_2,Shop_2_P0025,Item_25,14647,685,5 days,30 days,Out of Stock,3.2,Free shipping,No,3.2/5,India
Shop_2,Shop_2_P0026,Item_26,48856,374,5 days,7 days,Out of Stock,3.7,None,Yes,3.5/5,India
Shop_2,Shop_2_P0027,Item_27,37659,591,7 days,30 days,Out of Stock,4.6,None,Yes,4.6/5,India
Shop_2,Shop_2_P0028,Item_28,46206,50,4 days,30 days,Out of Stock,3.9,10% off,No,3.2/5,India
Shop_2,Shop_2_P0029,Item_29,18500,463,4 days,7 days,Out of Stock,3.4,Free shipping,No,4.7/5,India
Shop_2,Shop_2_P0030,Item_30,27554,298,3 days,30 days,In Stock,3.9,10% off,No,4.9/5,India
Shop_2,Shop_2_P0031,Item_31,10361,121,7 days,14 days,Out of Stock,5.0,10% off,Yes,4.3/5,India
Shop_2,Shop_2_P0032,Item_32,5344,278,1 days,7 days,Out of Stock,4.5,Free shipping,Yes,4.2/5,India
Shop_2,Shop_2_P0033,Item_33,40483,400,4 days,7 days,In Stock,4.4,None,No,4.3/5,India
Shop_2,Shop_2_P0034,Item_34,39355,249,2 days,30 days,In Stock,3.2,None,No,4.0/5,India
Shop_2,Shop_2_P0035,Item_35,25210,431,2 days,7 days,Out of Stock,4.7,Free shipping,Yes,4.5/5,India
Shop_2,Shop_2_P0036,Item_36,21195,160,6 days,14 days,In Stock,4.6,Free shipping,Yes,3.2/5,India
Shop_2,Shop_2_P0037,Item_37,18173,363,3 days,7 days,Out of Stock,3.4,None,No,5.0/5,India
Shop_2,Shop_2_P0038,Item_38,40524,558,6 days,14 days,In Stock,4.4,Free shipping,No,4.3/5,India
Shop_2,Shop_2_P0039,Item_39,22148,117,6 days,14 days,Out of Stock,3.4,Free shipping,No,3.9/5,India
Shop_2,Shop_2_P0040,Item_40,13975,249,3 days,30 days,Out of Stock,3.6,Free shipping,Yes,4.9/5,India
Shop_2,Shop_2_P0041,Item_41,42116,183,2 days,7 days,In Stock,3.9,10% off,No,3.6/5,India
Shop_2,Shop_2_P0042,Item_42,41957,560,3 days,14 days,In Stock,4.2,10% off,No,3.7/5,India
Shop_2,Shop_2_P0043,Item_43,14532,584,7 days,7 days,Out of Stock,4.9,10% off,No,3.1/5,India
Shop_2,Shop_2_P0044,Item_44,13867,262,3 days,30 days,Out of Stock,4.4,Free shipping,Yes,3.4/5,India
Shop_2,Shop_2_P0045,Item_45,21125,402,5 days,14 days,Out of Stock,3.8,Free shipping,Yes,4.4/5,India
Shop_2,Shop_2_P0046,Item_46,30454,318,5 days,7 days,Out of Stock,4.2,None,Yes,4.5/5,India
Shop_2,Shop_2_P0047,Item_47,32726,335,1 days,7 days,In Stock,4.4,10% off,No,4.5/5,India
Shop_2,Shop_2_P0048,Item_48,47153,124,1 days,14 days,Out of Stock,4.3,Free shipping,Yes,4.1/5,India
Shop_2,Shop_2_P0049,Item_49,25208,154,3 days,7 days,Out of Stock,4.3,Free shipping,No,3.1/5,India
Shop_2,Shop_2_P0050,Item_50,24062,165,5 days,14 days,Out of Stock,4.6,Free shipping,No,4.5/5,India
Shop_2,Shop_2_P0051,Item_51,19883,381,2 days,30 days,Out of Stock,3.2,None,No,4.8/5,India
Shop_2,Shop_2_P0052,Item_52,34206,222,1 days,30 days,Out of Stock,3.9,Free shipping,No,3.8/5,India
Shop_2,Shop_2_P0053,Item_53,31375,539,4 days,30 days,In Stock,3.2,10% off,Yes,4.7/5,India
Shop_2,Shop_2_P0054,Item_54,38905,673,6 days,30 days,In Stock,3.7,None,Yes,3.2/5,India
Shop_2,Shop_2_P0055,Item_55,6692,508,5 days,7 days,In Stock,3.9,Free shipping,No,4.7/5,India
Shop_2,Shop_2_P0056,Item_56,30694,410,2 days,14 days,Out of Stock,3.7,10% off,No,4.0/5,India
Shop_2,Shop_2_P0057,Item_57,17975,342,2 days,14 days,In Stock,3.3,None,No,4.0/5,India
Shop_2,Shop_2_P0058,Item_58,37777,306,7 days,14 days,In Stock,3.8,None,Yes,4.8/5,India
Shop_2,Shop_2_P0059,Item_59,22137,54,5 days,7 days,In Stock,4.1,Free shipping,No,4.1/5,India
Shop_2,Shop_2_P0060,Item_60,26124,517,6 days,14 days,Out of Stock,4.3,None,No,4.9/5,India
Shop_2,Shop_2_P0061,Item_61,1083,79,6 days,14 days,Out of Stock,4.2,10% off,Yes,4.5/5,India
Shop_2,Shop_2_P0062,Item_62,49914,481,4 days,14 days,Out of Stock,4.8,None,Yes,4.5/5,India
Shop_2,Shop_2_P0063,Item_63,3126,402,2 days,14 days,In Stock,4.1,Free shipping,Yes,3.0/5,India
Shop_2,Shop_2_P0064,Item_64,44126,234,1 days,7 days,Out of Stock,3.9,10% off,No,4.3/5,India
Shop_2,Shop_2_P0065,Item_65,9423,547,5 days,30 days,In Stock,4.4,None,Yes,4.8/5,India
Shop_2,Shop_2_P0066,Item_66,12590,658,2 days,30 days,In Stock,3.1,Free shipping,No,3.2/5,India
Shop_2,Shop_2_P0067,Item_67,33444,536,1 days,7 days,In Stock,4.4,None,No,3.8/5,India
Shop_2,Shop_2_P0068,Item_68,26375,336,5 days,7 days,In Stock,3.3,None,Yes,3.5/5,India
Shop_2,Shop_2_P0069,Item_69,10835,470,2 days,14 days,Out of Stock,4.0,Free shipping,Yes,4.5/5,India
Shop_2,Shop_2_P0070,Item_70,44127,358,5 days,7 days,In Stock,4.0,None,No,3.5/5,India
Shop_2,Shop_2_P0071,Item_71,31475,287,7 days,7 days,Out of Stock,3.2,10% off,Yes,4.1/5,India
Shop_2,Shop_2_P0072,Item_72,27759,292,1 days,7 days,Out of Stock,4.7,None,Yes,4.4/5,India
Shop_2,Shop_2_P0073,Item_73,26508,390,7 days,30 days,Out of Stock,4.1,None,Yes,3.5/5,India
Shop_2,Shop_2_P0074,Item_74,844,30,6 days,14 days,Out of Stock,3.4,10% off,Yes,4.1/5,India
Shop_2,Shop_2_P0075,Item_75,28332,567,5 days,7 days,Out of Stock,4.6,10% off,No,3.2/5,India
Shop_2,Shop_2_P0076,Item_76,31615,468,4 days,14 days,Out of Stock,3.9,Free shipping,Yes,4.3/5,India
Shop_2,Shop_2_P0077,Item_77,7404,293,7 days,14 days,In Stock,3.1,10% off,No,4.4/5,India
Shop_2,Shop_2_P0078,Item_78,48863,607,5 days,30 days,Out of Stock,3.8,Free shipping,Yes,4.5/5,India
Shop_2,Shop_2_P0079,Item_79,44837,594,1 days,14 days,In Stock,4.0,None,Yes,3.9/5,India
Shop_2,Shop_2_P0080,Item_80,13224,640,6 days,14 days,Out of Stock,3.9,None,Yes,4.6/5,India
Shop_2,Shop_2_P0081,Item_81,49860,249,6 days,14 days,Out of Stock,3.7,Free shipping,Yes,4.2/5,India
Shop_2,Shop_2_P0082,Item_82,5104,89,1 days,30 days,Out of Stock,3.5,Free shipping,No,4.2/5,India
Shop_2,Shop_2_P0083,Item_83,5190,127,4 days,14 days,In Stock,4.3,Free shipping,Yes,3.3/5,India
Shop_2,Shop_2_P0084,Item_84,47254,413,1 days,14 days,In Stock,3.2,10% off,Yes,4.0/5,India
Shop_2,Shop_2_P0085,Item_85,12258,255,4 days,14 days,In Stock,4.2,Free shipping,Yes,3.4/5,India
Shop_2,Shop_2_P0086,Item_86,46422,304,3 days,7 days,In Stock,4.6,10% off,No,4.4/5,India
Shop_2,Shop_2_P0087,Item_87,32994,263,3 days,14 days,In Stock,4.9,None,No,4.8/5,India
Shop_2,Shop_2_P0088,Item_88,21267,427,6 days,14 days,In Stock,4.3,10% off,Yes,3.0/5,India
Shop_2,Shop_2_P0089,Item_89,17994,668,1 days,7 days,Out of Stock,4.3,Free shipping,Yes,5.0/5,India
Shop_2,Shop_2_P0090,Item_90,40302,401,2 days,14 days,Out of Stock,4.8,10% off,Yes,3.2/5,India
Shop_2,Shop_2_P0091,Item_91,24255,564,6 days,7 days,Out of Stock,4.5,10% off,Yes,3.3/5,India
Shop_2,Shop_2_P0092,Item_92,21691,35,7 days,14 days,In Stock,3.7,Free shipping,No,3.3/5,India
Shop_2,Shop_2_P0093,Item_93,11779,42,1 days,7 days,In Stock,3.5,None,Yes,3.5/5,India
Shop_2,Shop_2_P0094,Item_94,31699,318,3 days,7 days,In Stock,4.2,10% off,No,4.5/5,India
Shop_2,Shop_2_P0095,Item_95,28997,284,4 days,30 days,In Stock,4.8,10% off,Yes,3.5/5,India
Shop_2,Shop_2_P0096,Item_96,23454,88,5 days,14 days,In Stock,4.9,Free shipping,No,3.1/5,India
Shop_2,Shop_2_P0097,Item_97,19615,313,3 days,7 days,In Stock,4.2,Free shipping,Yes,3.5/5,India
Shop_2,Shop_2_P0098,Item_98,23001,241,7 days,30 days,In Stock,4.6,Free shipping,Yes,4.9/5,India
Shop_2,Shop_2_P0099,Item_99,24423,492,4 days,7 days,Out of Stock,4.5,10% off,No,3.9/5,India
Shop_2,Shop_2_P0100,Item_100,23786,431,4 days,14 days,Out of Stock,3.6,None,Yes,4.4/5,India
Shop_3,Shop_3_P0001,Item_1,30959,497,6 days,30 days,In Stock,3.5,10% off,Yes,4.9/5,India
Shop_3,Shop_3_P0002,Item_2,9018,35,1 days,30 days,In Stock,3.1,None,Yes,4.3/5,India
Shop_3,Shop_3_P0003,Item_3,3038,394,6 days,30 days,In Stock,4.4,None,No,3.9/5,India
Shop_3,Shop_3_P0004,Item_4,10813,565,7 days,7 days,Out of Stock,4.5,None,Yes,4.3/5,India
Shop_3,Shop_3_P0005,Item_5,5511,119,4 days,14 days,Out of Stock,5.0,Free shipping,No,3.2/5,India
Shop_3,Shop_3_P0006,Item_6,24511,435,2 days,14 days,Out of Stock,3.7,10% off,No,4.1/5,India
Shop_3,Shop_3_P0007,Item_7,13521,441,1 days,7 days,In Stock,4.1,Free shipping,No,4.1/5,India
Shop_3,Shop_3_P0008,Item_8,14475,311,6 days,30 days,Out of Stock,4.0,Free shipping,No,3.9/5,India
Shop_3,Shop_3_P0009,Item_9,33467,558,5 days,14 days,In Stock,3.1,10% off,No,4.1/5,India
Shop_3,Shop_3_P0010,Item_10,20835,255,3 days,30 days,In Stock,3.1,10% off,Yes,4.3/5,India
Shop_3,Shop_3_P0011,Item_11,42617,86,7 days,14 days,Out of Stock,4.7,None,Yes,4.0/5,India
Shop_3,Shop_3_P0012,Item_12,3067,434,2 days,14 days,In Stock,3.4,10% off,No,3.9/5,India
Shop_3,Shop_3_P0013,Item_13,16002,94,2 days,7 days,Out of Stock,3.5,Free shipping,No,3.2/5,India
Shop_3,Shop_3_P0014,Item_14,9080,108,1 days,7 days,In Stock,4.1,None,No,3.1/5,India
Shop_3,Shop_3_P0015,Item_15,4897,392,5 days,14 days,Out of Stock,3.5,10% off,Yes,3.7/5,India
Shop_3,Shop_3_P0016,Item_16,18427,202,7 days,14 days,In Stock,3.7,None,Yes,5.0/5,India
Shop_3,Shop_3_P0017,Item_17,24757,380,1 days,14 days,In Stock,3.2,Free shipping,Yes,3.8/5,India
Shop_3,Shop_3_P0018,Item_18,19571,352,2 days,30 days,Out of Stock,4.0,Free shipping,No,4.2/5,India
Shop_3,Shop_3_P0019,Item_19,21728,83,2 days,30 days,In Stock,3.0,Free shipping,No,4.7/5,India
Shop_3,Shop_3_P0020,Item_20,10371,586,2 days,7 days,In Stock,3.4,Free shipping,Yes,3.1/5,India
Shop_3,Shop_3_P0021,Item_21,31785,372,3 days,14 days,In Stock,4.8,None,No,4.1/5,India
Shop_3,Shop_3_P0022,Item_22,16733,211,2 days,30 days,Out of Stock,3.9,Free shipping,Yes,4.6/5,India
Shop_3,Shop_3_P0023,Item_23,2298,492,7 days,7 days,In Stock,3.2,10% off,No,3.7/5,India
Shop_3,Shop_3_P0024,Item_24,27447,238,1 days,14 days,In Stock,3.8,10% off,Yes,4.4/5,India
Shop_3,Shop_3_P0025,Item_25,8671,383,2 days,30 days,Out of Stock,4.0,Free shipping,No,3.3/5,India
Shop_3,Shop_3_P0026,Item_26,42084,580,5 days,7 days,In Stock,3.2,Free shipping,No,3.8/5,India
Shop_3,Shop_3_P0027,Item_27,20132,114,3 days,7 days,Out of Stock,3.6,Free shipping,No,4.3/5,India
Shop_3,Shop_3_P0028,Item_28,34733,385,1 days,30 days,Out of Stock,3.1,None,No,4.4/5,India
Shop_3,Shop_3_P0029,Item_29,28668,258,1 days,7 days,Out of Stock,4.1,None,Yes,3.2/5,India
Shop_3,Shop_3_P0030,Item_30,34417,375,2 days,14 days,Out of Stock,3.6,10% off,Yes,3.4/5,India
Shop_3,Shop_3_P0031,Item_31,11848,319,4 days,14 days,Out of Stock,4.7,10% off,Yes,4.5/5,India
Shop_3,Shop_3_P0032,Item_32,15151,435,5 days,30 days,In Stock,3.4,None,No,3.7/5,India
Shop_3,Shop_3_P0033,Item_33,4464,424,3 days,7 days,Out of Stock,3.4,Free shipping,Yes,3.3/5,India
